,hokkaido,tohoku,kanto,chubu,kansai,,,,,,,chukoku,shikoku,kyushyu,okinawa
10,1430.295597,1517.953878,2487.643606,911.3752621,871.1593291,,,,,,10,599.3731656,356.1174004,1514.498952,55.29559748
20,99.22851153,436.2767296,1083.897275,378.1781971,486.0796646,,,,,,20,661.8155136,653.2431866,649.2704403,16.76939203
30,1318.429769,1297.039832,10594.66038,4100.077568,3768.616352,,,,,,30,4481.012579,1383.004193,1603.574423,288.769392
40,-1267.324948,-1517.874214,-7791.949686,-2020.134172,-3077.496855,,,,,,40,-977.0083857,-622.9853249,-1969.542977,-115.7463312
50,8.381551363,58.39412998,198.081761,178.1551363,140.0503145,,,,,,50,64.02725367,43.4360587,-0.935010482,0.92033543
60,61.4360587,-86.70649895,447.9014675,22.90146751,-93.81341719,,,,,,60,-73.33542977,-29.14465409,21.94129979,-0.192872117
70,302.2012579,510.8637317,1740.574423,806.6184486,786.0985325,,,,,,70,460.8951782,283.2180294,439.6477987,15.67295597
80,348.5387841,452.9350105,2038.639413,700.1341719,762.687631,,,,,,80,326.2515723,507.0964361,282.1446541,5.350104822
90,201.9748428,293.7861635,3686.36478,737.3836478,1274.014675,,,,,,90,346.5807128,128.6100629,483.951782,26.37316562
100,92.92033543,212.1740042,1578.085954,503.9266247,631.6415094,,,,,,100,-63.21593291,70.00838574,40.73584906,4.037735849
110,5.849056604,0.306079665,119.5199161,28.34381551,135.5786164,,,,,,110,8.050314465,-101.6247379,-15.92243187,0.651991614
120,24.05870021,57.67924528,-1201.807128,112.6163522,-446.6037736,,,,,,120,33.16561845,40.67295597,50.78197065,0.731656184
130,143.9916143,288.1593291,2332.8826,820.1886792,1121.962264,,,,,,130,310.2054507,208.7484277,422.7023061,1.035639413
140,143.4884696,46.80922432,1336.140461,33.91823899,206.0272537,,,,,,140,397.4926625,25.03563941,249.1781971,8.591194969
150,65.5115304,242.932914,2195.87631,1265.018868,687.7085954,,,,,,150,226.6415094,-4.209643606,230.3647799,5.553459119
